sku_id,subfamily,family,customer,forecast
SKU1001,cheese,dairy,costco,42
SKU1002,milk,dairy,walmart,19
SKU1003,yogurt,dairy,kroger,37
SKU1004,apples,fruits,costco,23
SKU1005,oranges,fruits,walmart,48
SKU1006,bananas,fruits,publix,15
SKU1007,chicken,meat,costco,31
SKU1008,beef,meat,walmart,27
SKU1009,pork,meat,kroger,44
SKU1010,carrots,vegetables,publix,12
SKU1011,potatoes,vegetables,costco,39
SKU1012,onions,vegetables,walmart,21
SKU1013,bread,bakery,kroger,36
SKU1014,pastries,bakery,publix,49
SKU1015,cakes,bakery,costco,14
SKU1016,tuna,seafood,walmart,33
SKU1017,salmon,seafood,kroger,25
SKU1018,shrimp,seafood,publix,46
SKU1019,coffee,beverages,costco,17
SKU1020,tea,beverages,walmart,30
SKU1021,juice,beverages,kroger,22
SKU1022,butter,dairy,publix,41
SKU1023,cream,dairy,costco,18
SKU1024,cheese,dairy,walmart,35
SKU1025,strawberries,fruits,kroger,29
SKU1026,grapes,fruits,publix,43
SKU1027,pears,fruits,costco,16
SKU1028,turkey,meat,walmart,32
SKU1029,lamb,meat,kroger,24
SKU1030,sausage,meat,publix,47
SKU1031,broccoli,vegetables,costco,13
SKU1032,spinach,vegetables,walmart,38
SKU1033,lettuce,vegetables,kroger,20
SKU1034,cookies,bakery,publix,45
SKU1035,muffins,bakery,costco,11
SKU1036,rolls,bakery,walmart,34
SKU1037,cod,seafood,kroger,26
SKU1038,tilapia,seafood,publix,50
SKU1039,crab,seafood,costco,19
SKU1040,soda,beverages,walmart,40
SKU1041,water,beverages,kroger,15
SKU1042,energy drinks,beverages,publix,28
SKU1043,yogurt,dairy,costco,33
SKU1044,kefir,dairy,walmart,22
SKU1045,cheese,dairy,kroger,46
SKU1046,blueberries,fruits,publix,17
SKU1047,raspberries,fruits,costco,39
SKU1048,peaches,fruits,walmart,24
SKU1049,veal,meat,kroger,42
SKU1050,duck,meat,publix,11
SKU1051,bacon,meat,costco,31
SKU1052,tomatoes,vegetables,walmart,25
